Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,LW,Wedge,04/21/2025 03:19:59,55.9,4.2,42.7,7823,-644,7849,52,51.9,3,16.5,53.9,,,,,,,,,,,
2,LW,Wedge,04/21/2025 03:20:29,49.2,4.9,43,6672,182,6674,44.9,45.9,4.4,13.5,52.1,,,,,,,,,,,
3,LW,Wedge,04/21/2025 03:20:54,53.7,2.7,41.9,5844,1463,6024,49.5,51.7,5.3,14.4,51.6,,,,,,,,,,,
4,LW,Wedge,04/21/2025 03:21:06,55.9,-3,38.3,7580,-1486,7724,54.7,54.6,-5.4,14.6,49.4,,,,,,,,,,,
5,LW,Wedge,04/21/2025 03:21:22,58.2,1.8,39.4,7257,1162,7349,57,57.8,4.4,16.1,51.1,,,,,,,,,,,
6,SW,Wedge,04/21/2025 03:22:17,67.1,2,37.7,7872,-908,7924,72.1,73.4,-0.2,21.3,52.5,,,,,,,,,,,
7,SW,Wedge,04/21/2025 03:22:37,67.1,4.3,40.8,7001,-576,7025,69.3,71,3.7,22.6,54.4,,,,,,,,,,,
8,SW,Wedge,04/21/2025 03:22:55,67.1,2.7,40.9,6763,1230,6874,69.5,71.4,7.7,22.6,54.1,,,,,,,,,,,
9,SW,Wedge,04/21/2025 03:23:21,71.6,2,36.5,8316,1754,8499,76.8,77.2,8.6,22.4,52.6,,,,,,,,,,,
10,SW,Wedge,04/21/2025 03:24:08,69.3,2.1,38.2,7511,1156,7599,74.7,75.8,6.8,22.7,52.9,,,,,,,,,,,
11,GW,Wedge,04/21/2025 03:25:11,73.8,0.1,35.7,5744,-1345,5899,83.5,87.6,-6.5,23.1,50.9,,,,,,,,,,,
12,GW,Wedge,04/21/2025 03:25:40,71.6,1.1,36.8,6712,-920,6775,80.3,82.8,-2.6,23.5,52.2,,,,,,,,,,,
13,GW,Wedge,04/21/2025 03:26:08,71.6,3.9,37.2,7093,312,7100,78.6,80.2,7.2,23.3,52.5,,,,,,,,,,,
14,GW,Wedge,04/21/2025 03:26:27,73.8,0.6,35.2,7619,-677,7649,84.2,86.1,-1.9,24,52,,,,,,,,,,,
15,GW,Wedge,04/21/2025 03:26:48,69.3,2.4,36.2,8720,-285,8725,76.3,76.4,2.5,22.2,52.3,,,,,,,,,,,
16,GW,Wedge,04/21/2025 03:27:06,76.1,-1.4,33.8,5469,238,5474,88.5,92.1,-0.9,23,49.7,,,,,,,,,,,
17,GW,Wedge,04/21/2025 03:27:26,71.6,2.9,38.1,7544,288,7549,78.3,79.4,5.3,24.5,53.7,,,,,,,,,,,
18,PW,Wedge,04/21/2025 03:28:50,78.3,3.5,35.8,6548,-142,6550,90.9,93.2,5.3,27.1,53,,,,,,,,,,,
19,PW,Wedge,04/21/2025 03:29:06,78.3,-1.1,32.5,6795,-634,6825,91.2,94.1,-5.8,23.7,50.1,,,,,,,,,,,
